id_famille;nom_famille;Définition;objectif;Rôle dans le calcul
1;Enjeu;Regroupe les indicateurs qui caractérisent la valeur stratégique et la résilience des systèmes d’eau potable. Ils permettent de quantifier ce qui doit être protégé (population, infrastructures, biodiversité dépendante) et constituent le contrepoids des menaces dans l’analyse de criticité.;Qu'est-ce qu'on protège ?;pondération positive
2;Menace;Regroupe les indicateurs qui caractérisent les menaces et les aléas, d’origine naturelle ou anthropique, susceptibles d’altérer les ressources en eau. Ils mesurent l’intensité des perturbations subies par le bassin versant (incendies, urbanisation, prélèvements).;Qu'est-ce qui menace ?;pondération négative
3;Vulnérabilité;Regroupe les indicateurs qui caractérisent la sensibilité intrinsèque des milieux et des captages, en fonction de leurs propriétés physiques (géologie, type d’ouvrage). Contrairement aux pressions, elle ne décrit pas un événement mais une prédisposition naturelle aux transferts d’eau et de polluants.;Quel est la sensibilité ?;facteur amplificateur
4;Contexte / État;Regroupe les indicateurs décrivant le cadre structurel (géographique, technique, réglementaire) et l’état initial du milieu. Ces éléments n’entrent pas directement dans le calcul de criticité mais permettent d’interpréter et de contextualiser les résultats.;Quel est le contexte ?;hors calcul
